_id,ltable_id,rtable_id
0,637,198
1,674,48
2,930,166
3,623,23
4,950,301
5,608,308
6,882,175
7,740,209
8,977,129
9,996,187
10,559,31
11,617,170
12,893,301
13,551,235
14,636,328
15,737,144
16,1054,198
17,578,263
18,741,201
19,959,134
20,684,156
21,602,129
22,1005,196
23,623,245
24,825,166
25,1009,129
26,1010,218
27,938,143
28,702,252
29,631,270
30,777,11
31,924,174
32,801,157
33,1044,207
34,659,43
35,644,317
36,631,191
37,925,308
38,1019,217
39,1044,190
40,902,192
41,715,192
42,952,142
43,780,126
44,644,204
45,643,193
46,648,135
47,957,131
48,597,236
49,928,119
50,841,289
51,997,206
52,970,286
53,843,100
54,605,264
55,690,80
56,919,331
57,776,43
58,960,280
59,915,144
60,752,218
61,625,172
62,1006,93
63,611,145
64,919,184
65,577,1
66,634,210
67,1017,202
68,1042,205
69,947,179
70,1066,199
71,1051,313
72,865,270
73,866,33
74,1013,190
75,923,170
76,1017,187
77,626,168
78,639,212
79,966,12
80,801,247
81,932,180
82,1032,218
83,1051,214
84,605,277
85,885,116
86,1056,192
87,619,168
88,710,1
89,1023,218
90,933,302
91,581,303
92,921,302
93,866,42
94,1038,323
95,945,144
96,653,223
97,1002,323
98,1064,218
99,1062,325
100,925,162
101,1028,317
102,562,247
103,628,313
104,538,33
105,996,10
106,737,36
107,693,11
108,1041,190
109,604,290
110,1046,201
111,943,41
112,538,80
113,666,141
114,685,223
115,922,307
116,851,139
117,944,295
118,799,107
119,638,193
120,1006,194
121,1049,324
122,1047,209
123,955,185
124,977,289
125,1031,215
126,1040,1
127,1059,319
128,866,66
129,966,316
130,931,176
131,1031,317
132,954,115
133,884,240
134,1036,213
135,1055,203
136,978,141
137,998,328
138,1060,211
139,675,183
140,968,139
141,1022,322
142,627,142
143,1010,314
144,686,42
145,835,10
146,944,148
147,618,311
148,640,189
149,949,173
150,1049,23
151,953,170
152,1034,325
153,1036,315
154,996,200
155,669,318
156,926,151
157,929,145
158,779,43
159,1034,212
160,612,312
161,740,245
162,1058,206
163,617,134
164,635,203
165,720,17
166,585,287
167,1041,204
168,1007,313
169,1035,194
170,1035,247
171,655,157
172,983,288
173,640,330
174,1061,129
175,884,135
176,740,43
177,924,178
178,962,125
179,928,181
180,881,107
181,972,134
182,994,330
183,759,78
184,921,155
185,1018,324
186,1000,327
187,995,188
188,913,304
189,967,125
190,952,170
191,1033,199
192,994,317
193,631,48
194,1057,217
195,796,107
196,620,295
197,766,222
198,914,154
199,678,67
200,537,245
201,630,328
202,1015,262
203,1003,326
204,995,195
205,970,133
206,824,231
207,989,193
208,1053,318
209,795,82
210,942,295
211,992,107
212,723,139
213,946,154
214,947,143
215,1066,187
216,696,127
217,572,43
218,990,211
219,663,219
220,636,215
221,979,286
222,687,209
223,639,200
224,624,159
225,932,168
226,1029,326
227,1008,318
228,843,183
229,663,72
230,757,157
231,923,295
232,652,223
233,619,148
234,748,304
235,645,74
236,988,327
237,534,223
238,998,17
239,719,209
240,956,165
241,975,123
242,1037,204
243,1016,136
244,979,124
245,976,287
246,980,291
247,619,37
248,995,319
249,585,149
250,995,13
251,770,33
252,896,136
253,629,196
254,993,210
255,1016,247
256,796,42
257,936,200
258,948,176
259,1046,213
260,605,123
261,733,166
262,736,246
263,954,309
264,827,33
265,1011,316
266,736,115
267,1059,330
268,926,311
269,619,323
270,1026,129
271,626,310
272,737,284
273,1054,329
274,647,139
275,1037,319
276,851,276
277,637,315
278,927,171
279,931,172
280,954,23
281,907,12
282,920,155
283,613,306
284,805,308
285,993,213
286,1016,324
287,798,156
288,1025,328
289,983,128
290,987,197
291,608,158
292,755,33
293,628,209
294,1011,203
295,626,175
296,1036,328
297,940,181
298,944,176
299,618,299
300,1060,326
301,855,74
302,949,129
303,738,150
304,983,236
305,1053,206
306,914,182
307,925,184
308,1019,325
309,1007,193
310,1030,264
311,1034,200
312,973,140
313,978,190
314,1054,143
315,996,115
316,1058,210
317,872,33
318,674,235
319,913,184
320,623,188
321,551,179
322,938,180
323,702,293
324,939,149
325,914,147
326,1025,319
327,673,33
328,621,299
329,1063,212
330,1045,313
331,750,49
332,623,301
333,935,161
334,683,136
335,842,316
336,631,246
337,616,181
338,924,150
339,925,331
340,707,40
341,1004,212
342,1048,194
343,716,80
344,648,240
345,1015,196
346,832,264
347,961,126
348,654,12
349,800,124
350,626,293
351,554,6
352,937,150
353,577,175
354,602,266
355,985,130
356,948,306
357,625,155
358,933,162
359,644,43
360,829,31
361,597,21
362,924,299
363,824,247
364,946,303
365,776,149
366,1062,193
367,897,135
368,584,260
369,536,321
370,701,55
371,630,199
372,1013,197
373,761,276
374,1041,314
375,635,319
376,710,175
377,1026,260
378,1039,188
379,808,163
380,990,207
381,918,312
382,1012,196
383,998,276
384,957,286
385,737,331
386,923,146
387,946,17
388,620,184
389,876,210
390,1028,215
391,842,78
392,604,279
393,1020,209
394,535,33
395,1052,205
396,657,150
397,960,157
398,1014,320
399,771,150
400,731,139
401,820,296
402,927,331
403,1003,209
404,552,55
405,936,150
406,791,264
407,1037,240
408,941,155
409,1038,315
410,653,231
411,638,319
412,1064,146
413,843,175
414,988,218
415,629,216
416,921,151
417,850,215
418,688,33
419,1017,318
420,1045,192
421,687,107
422,894,20
423,732,215
424,981,306
425,932,305
426,1039,198
427,699,6
428,992,12
429,974,140
430,798,42
431,614,151
432,615,170
433,618,218
434,1001,210
435,619,303
436,1002,189
437,675,17
438,1027,196
439,950,181
440,879,273
441,954,184
442,591,141
443,748,11
444,741,272
445,888,188
446,851,304
447,1059,247
448,1025,315
449,674,331
450,927,143
451,675,254
452,1016,157
453,608,203
454,1007,189
455,954,43
456,917,165
457,821,288
458,632,193
459,728,93
460,1040,216
461,580,33
462,1001,12
463,964,128
464,732,40
465,1046,322
466,995,320
467,802,82
468,1058,276
469,566,251
470,852,252
471,768,42
472,1046,317
473,1049,207
474,608,297
475,670,31
476,940,296
477,1058,135
478,925,156
479,637,216
480,952,294
481,915,154
482,1031,184
483,1035,189
484,568,166
485,1057,325
486,996,23
487,979,297
488,962,131
489,610,1
490,985,290
491,693,17
492,1006,200
493,934,293
494,916,304
495,938,168
496,905,33
497,928,142
498,801,240
499,653,120
500,949,296
501,971,288
502,1033,317
503,972,127
504,901,181
505,631,218
506,777,127
507,616,145
508,744,189
509,925,303
510,587,272
511,612,165
512,581,42
513,961,123
514,601,140
515,1004,191
516,599,149
517,1029,218
518,934,150
519,645,193
520,919,294
521,776,48
522,795,252
523,833,33
524,669,221
525,947,41
526,595,291
527,1004,206
528,936,310
529,735,78
530,919,151
531,634,191
532,961,133
533,1054,138
534,1043,195
535,748,203
536,966,150
537,658,223
538,606,185
539,607,128
540,875,66
541,994,199
542,1013,217
543,540,223
544,1038,74
545,1018,193
546,946,162
547,539,199
548,966,33
549,962,162
550,932,145
551,671,267
552,1051,205
553,957,290
554,960,74
555,1014,317
556,980,133
557,620,156
558,549,232
559,1008,326
560,681,288
561,990,314
562,1052,209
563,975,130
564,888,284
565,795,312
566,652,231
567,927,303
568,1003,189
569,605,129
570,842,245
571,680,232
572,992,202
573,1052,320
574,885,177
575,922,173
576,1016,192
577,942,168
578,818,330
579,675,303
580,968,291
581,927,293
582,714,267
583,988,190
584,1009,197
585,1011,327
586,918,145
587,921,115
588,595,4
589,1003,195
590,618,175
591,1026,214
592,997,321
593,1047,204
594,1050,208
595,992,40
596,920,309
597,684,310
598,1012,91
599,614,179
600,998,210
601,1001,206
602,631,330
603,766,78
604,604,125
605,931,151
606,950,145
607,1037,195
608,884,157
609,1018,211
610,1037,327
611,941,306
612,1064,315
613,916,144
614,590,43
615,917,185
616,996,326
617,688,31
618,1040,196
619,998,316
620,802,11
621,640,210
622,604,131
623,570,31
624,897,293
625,935,293
626,683,276
627,846,192
628,684,235
629,996,213
630,992,213
631,1024,328
632,708,225
633,926,184
634,1010,204
635,878,209
636,608,309
637,977,128
638,1035,293
639,997,205
640,986,126
641,915,182
642,879,233
643,1059,135
644,1035,217
645,1054,199
646,905,72
647,959,129
648,983,287
649,1005,195
650,652,25
651,679,6
652,683,67
653,671,3
654,740,48
655,777,10
656,1012,197
657,924,175
658,797,215
659,835,284
660,928,170
661,1044,200
662,1006,191
663,659,42
664,644,318
665,611,293
666,631,190
667,635,187
668,672,175
669,925,307
670,1019,216
671,1044,191
672,913,331
673,1066,275
674,1022,17
675,952,143
676,644,205
677,993,218
678,648,136
679,957,130
680,668,219
681,1043,1
682,970,287
683,1026,231
684,934,178
685,645,293
686,919,330
687,1045,211
688,961,240
689,1015,317
690,1042,187
691,657,223
692,621,166
693,715,33
694,611,144
695,636,200
696,634,211
697,1017,201
698,544,183
699,1042,202
700,946,247
701,947,178
702,595,33
703,1066,196
704,805,48
705,1026,192
706,631,13
707,991,325
708,739,308
709,1013,189
710,923,173
711,943,166
712,674,327
713,639,215
714,876,139
715,932,181
716,987,202
717,786,115
718,663,39
719,1056,193
720,786,78
721,690,67
722,619,171
723,875,69
724,583,268
725,1023,197
726,933,301
727,629,126
728,921,301
729,1021,199
730,674,275
731,1038,320
732,945,151
733,1002,320
734,1028,318
735,534,163
736,628,314
737,921,222
738,561,327
739,615,12
740,1041,189
741,642,178
742,604,291
743,1046,206
744,1023,315
745,918,189
746,922,304
747,615,157
748,543,192
749,638,198
750,1021,198
751,920,272
752,1047,208
753,584,264
754,955,184
755,977,288
756,561,33
757,1059,318
758,722,100
759,879,260
760,927,182
761,675,41
762,931,179
763,626,296
764,661,6
765,955,297
766,989,324
767,1055,202
768,978,138
769,944,6
770,998,329
771,855,304
772,766,245
773,968,140
774,1022,323
775,953,312
776,916,180
777,1010,315
778,777,276
779,1029,198
780,944,149
781,618,308
782,929,295
783,640,190
784,949,172
785,1054,326
786,1034,322
787,684,207
788,996,201
789,906,209
790,926,148
791,929,144
792,751,97
793,987,328
794,1034,213
795,648,127
796,1058,207
797,1008,211
798,880,12
799,623,155
800,825,80
801,1009,211
802,1002,209
803,1035,197
804,939,168
805,547,252
806,797,10
807,961,232
808,983,291
809,779,33
810,753,214
811,551,31
812,1022,276
813,664,321
814,618,91
815,612,31
816,924,179
