_id,ltable_id,rtable_id
0,534,219
1,535,220
2,536,221
3,537,222
4,538,223
5,539,224
6,540,225
7,540,235
8,542,227
9,545,230
10,548,233
11,550,225
12,550,235
13,551,236
14,552,237
15,553,238
16,555,240
17,557,242
18,558,243
19,559,244
20,560,245
21,561,246
22,564,249
23,565,250
24,566,251
25,566,262
26,567,252
27,569,254
28,571,256
29,572,257
30,573,258
31,574,259
32,575,260
33,578,263
34,579,264
35,580,265
36,582,267
37,584,75
38,584,269
39,586,271
40,587,272
41,588,273
42,589,274
43,590,275
44,591,276
45,593,278
46,597,282
47,599,284
48,601,129
49,601,286
50,602,287
51,604,124
52,604,131
53,604,289
54,605,290
55,607,125
56,608,293
57,609,294
58,611,296
59,612,297
60,614,299
61,615,300
62,616,301
63,617,302
64,618,303
65,619,304
66,620,305
67,621,306
68,622,307
69,626,311
70,627,312
71,628,313
72,629,314
73,630,315
74,631,316
75,632,317
76,633,318
77,634,319
78,635,320
79,636,321
80,637,322
81,638,323
82,639,324
83,640,325
84,642,215
85,642,327
86,643,328
87,645,330
88,648,82
89,653,208
90,669,225
91,669,235
92,685,31
93,699,224
94,731,252
95,754,262
96,757,252
97,757,312
98,780,260
99,783,312
100,816,258
101,821,262
102,841,262
103,852,312
104,853,262
105,876,252
106,876,312
107,879,120
108,879,264
109,890,262
110,918,142
111,918,301
112,919,293
113,919,304
114,957,127
115,960,127
116,961,141
117,963,124
118,963,131
119,972,129
120,972,289
121,980,129
122,1024,330
123,1040,192
